No,HN1,HN2,L1,L2,L3,AVG
77,80,208,0.915014164,0.957507082,0.95184136,0.941454202
78,80,224,0.90368272,0.954674221,0.954674221,0.937677054
79,80,240,0.912181303,0.949008499,0.949008499,0.936732767
80,80,256,0.917847025,0.960339943,0.949008499,0.942398489
81,96,16,0.849858357,0.95184136,0.934844193,0.912181303
82,96,32,0.895184136,0.949008499,0.940509915,0.928234183
83,96,48,0.90368272,0.95184136,0.940509915,0.932011331
84,96,64,0.895184136,0.960339943,0.946175637,0.933899906
85,96,80,0.900849858,0.954674221,0.949008499,0.934844193
86,96,96,0.900849858,0.954674221,0.943342776,0.932955619
87,96,112,0.912181303,0.954674221,0.95184136,0.939565628
88,96,128,0.90368272,0.95184136,0.946175637,0.933899906
89,96,144,0.912181303,0.940509915,0.949008499,0.933899906
90,96,160,0.906515581,0.960339943,0.946175637,0.937677054
91,96,176,0.909348442,0.954674221,0.95184136,0.938621341
92,96,192,0.906515581,0.957507082,0.949008499,0.937677054
93,96,208,0.912181303,0.960339943,0.954674221,0.942398489
94,96,224,0.920679887,0.957507082,0.949008499,0.942398489
95,96,240,0.909348442,0.954674221,0.957507082,0.940509915
96,96,256,0.906515581,0.960339943,0.95184136,0.939565628
97,112,16,0.872521246,0.95184136,0.963172805,0.92917847
98,112,32,0.892351275,0.954674221,0.940509915,0.92917847
99,112,48,0.900849858,0.957507082,0.937677054,0.932011331
100,112,64,0.906515581,0.954674221,0.95184136,0.937677054
101,112,80,0.906515581,0.960339943,0.932011331,0.932955619
102,112,96,0.915014164,0.960339943,0.943342776,0.939565628
103,112,112,0.909348442,0.960339943,0.943342776,0.937677054
104,112,128,0.912181303,0.960339943,0.949008499,0.940509915
105,112,144,0.906515581,0.957507082,0.95184136,0.938621341
106,112,160,0.90368272,0.957507082,0.954674221,0.938621341
107,112,176,0.912181303,0.954674221,0.954674221,0.940509915
108,112,192,0.917847025,0.954674221,0.95184136,0.941454202
