No,HN1,HN2,L1,L2,L3,AVG
213,224,80,0.902654867,0.967551622,0.914454277,0.928220256
41,48,144,0.91740413,0.967551622,0.896755162,0.927236971
56,64,128,0.873156342,0.967551622,0.94100295,0.927236971
40,48,128,0.991150442,0.908554572,0.879056047,0.926253687
217,224,144,0.837758112,0.96460177,0.97640118,0.926253687
219,224,176,0.961651917,0.926253687,0.890855457,0.926253687
29,32,208,0.979351032,0.867256637,0.932153392,0.926253687
140,144,192,0.908554572,0.967551622,0.899705015,0.925270403
190,192,224,0.85840708,0.982300885,0.935103245,0.925270403
230,240,96,0.849557522,0.96460177,0.961651917,0.925270403
77,80,208,0.899705015,0.946902655,0.92920354,0.925270403
25,32,144,0.89380531,0.946902655,0.932153392,0.924287119
163,176,48,0.926253687,0.91740413,0.926253687,0.923303835
23,32,112,0.890855457,0.92920354,0.949852507,0.923303835
170,176,160,0.95280236,0.873156342,0.943952802,0.923303835
256,256,256,0.967551622,0.938053097,0.864306785,0.923303835
79,80,240,0.884955752,0.973451327,0.908554572,0.922320551
132,144,64,0.979351032,0.982300885,0.805309735,0.922320551
89,96,144,0.95280236,0.884955752,0.92920354,0.922320551
186,192,160,0.90560472,0.932153392,0.92920354,0.922320551
228,240,64,0.843657817,0.961651917,0.961651917,0.922320551
102,112,96,0.843657817,0.946902655,0.973451327,0.921337266
103,112,112,0.837758112,0.955752212,0.970501475,0.921337266
48,48,256,0.879056047,0.96460177,0.91740413,0.920353982
235,240,176,0.973451327,0.95280236,0.831858407,0.919370698
197,208,80,0.884955752,0.926253687,0.943952802,0.918387414
92,96,192,0.852507375,0.970501475,0.92920354,0.91740413
119,128,112,0.91740413,0.958702065,0.873156342,0.916420846
208,208,256,0.949852507,0.979351032,0.820058997,0.916420846
154,160,160,0.923303835,0.95280236,0.873156342,0.916420846
16,16,256,0.864306785,0.932153392,0.949852507,0.915437561
100,112,64,0.83480826,0.946902655,0.96460177,0.915437561
45,48,208,0.923303835,0.92920354,0.890855457,0.914454277
160,160,256,0.831858407,0.97640118,0.932153392,0.913470993
233,240,144,0.831858407,0.96460177,0.943952802,0.913470993
211,224,48,0.887905605,0.946902655,0.902654867,0.912487709
243,256,48,0.84660767,0.923303835,0.967551622,0.912487709
200,208,128,0.899705015,0.955752212,0.8820059,0.912487709
50,64,32,0.820058997,0.985250737,0.92920354,0.911504425
143,144,240,0.90560472,0.95280236,0.876106195,0.911504425
18,32,32,0.852507375,0.932153392,0.946902655,0.910521141
214,224,96,0.867256637,0.955752212,0.908554572,0.910521141
218,224,160,0.908554572,0.938053097,0.884955752,0.910521141
185,192,144,0.837758112,0.967551622,0.923303835,0.909537856
15,16,240,0.943952802,0.935103245,0.849557522,0.909537856
250,256,160,0.92920354,0.876106195,0.923303835,0.909537856
32,32,256,0.840707965,0.973451327,0.908554572,0.907571288
72,80,128,0.8820059,0.979351032,0.861356932,0.907571288
75,80,176,0.864306785,0.970501475,0.887905605,0.907571288
80,80,256,0.98820059,0.92920354,0.805309735,0.907571288
111,112,240,0.840707965,0.96460177,0.91740413,0.907571288
112,112,256,0.825958702,0.967551622,0.926253687,0.906588004
196,208,64,0.820058997,0.943952802,0.955752212,0.906588004
204,208,192,0.91740413,0.94100295,0.861356932,0.906588004
108,112,192,0.991150442,0.890855457,0.831858407,0.904621436
178,192,32,0.814159292,0.967551622,0.932153392,0.904621436
223,224,240,0.982300885,0.855457227,0.876106195,0.904621436
216,224,128,0.861356932,0.95280236,0.899705015,0.904621436
17,32,16,0.96460177,0.946902655,0.799410029,0.903638151
58,64,160,0.884955752,0.935103245,0.890855457,0.903638151
59,64,176,0.867256637,0.973451327,0.87020649,0.903638151
145,160,16,0.83480826,0.96460177,0.911504425,0.903638151
201,208,144,0.855457227,0.997050147,0.85840708,0.903638151
139,144,176,0.873156342,0.96460177,0.873156342,0.903638151
116,128,64,0.902654867,0.911504425,0.89380531,0.902654867
96,96,256,0.843657817,0.920353982,0.943952802,0.902654867
157,160,208,0.83480826,0.89380531,0.97640118,0.901671583
134,144,96,0.8820059,0.946902655,0.876106195,0.901671583
144,144,256,0.864306785,0.961651917,0.879056047,0.901671583
181,192,80,0.83480826,0.955752212,0.911504425,0.900688299
198,208,96,0.98820059,0.743362832,0.970501475,0.900688299
207,208,240,0.914454277,0.946902655,0.837758112,0.899705015
51,64,48,0.840707965,0.89380531,0.96460177,0.899705015
125,128,208,0.828908555,0.967551622,0.896755162,0.897738446
164,176,64,0.849557522,0.92920354,0.914454277,0.897738446
31,32,240,0.837758112,0.938053097,0.914454277,0.896755162
245,256,80,0.814159292,0.938053097,0.938053097,0.896755162
106,112,160,0.923303835,0.932153392,0.831858407,0.895771878
46,48,224,0.896755162,0.991150442,0.796460177,0.894788594
141,144,208,0.85840708,0.887905605,0.938053097,0.894788594
138,144,160,0.958702065,0.852507375,0.87020649,0.89380531
7,16,112,0.831858407,0.985250737,0.864306785,0.89380531
61,64,208,0.83480826,0.955752212,0.890855457,0.89380531
9,16,144,0.831858407,0.932153392,0.914454277,0.892822026
95,96,240,0.817109145,0.949852507,0.911504425,0.892822026
236,240,192,0.772861357,0.955752212,0.949852507,0.892822026
91,96,176,0.902654867,0.926253687,0.84660767,0.891838741
124,128,192,0.896755162,0.911504425,0.867256637,0.891838741
183,192,112,0.852507375,0.91740413,0.90560472,0.891838741
42,48,160,0.808259587,0.946902655,0.920353982,0.891838741
171,176,176,0.949852507,0.884955752,0.837758112,0.890855457
3,16,48,0.831858407,0.911504425,0.92920354,0.890855457
107,112,176,0.89380531,0.899705015,0.879056047,0.890855457
193,208,16,0.828908555,0.938053097,0.90560472,0.890855457
241,256,16,0.820058997,0.958702065,0.890855457,0.889872173
30,32,224,0.94100295,0.876106195,0.852507375,0.889872173
70,80,96,0.85840708,0.961651917,0.849557522,0.889872173
86,96,96,0.90560472,0.949852507,0.81120944,0.888888889
174,176,224,0.849557522,0.932153392,0.884955752,0.888888889
133,144,80,0.946902655,0.979351032,0.740412979,0.888888889
166,176,96,0.938053097,0.914454277,0.81120944,0.887905605
11,16,176,0.887905605,0.908554572,0.864306785,0.886922321
8,16,128,0.84660767,0.899705015,0.911504425,0.885939036
168,176,128,0.849557522,0.899705015,0.908554572,0.885939036
191,192,240,0.849557522,0.94100295,0.867256637,0.885939036
248,256,128,0.864306785,0.85840708,0.935103245,0.885939036
177,192,16,0.855457227,0.864306785,0.935103245,0.884955752
13,16,208,0.89380531,0.864306785,0.896755162,0.884955752
62,64,224,0.95280236,0.884955752,0.814159292,0.883972468
22,32,96,0.867256637,0.82300885,0.958702065,0.882989184
53,64,80,0.840707965,0.943952802,0.864306785,0.882989184
43,48,176,0.82300885,0.920353982,0.902654867,0.8820059
73,80,144,0.884955752,0.840707965,0.91740413,0.881022616
240,240,256,0.855457227,0.89380531,0.890855457,0.880039331
220,224,192,0.923303835,0.87020649,0.84660767,0.880039331
38,48,96,0.83480826,0.932153392,0.87020649,0.879056047
254,256,224,0.958702065,0.843657817,0.82300885,0.875122911
246,256,96,0.81120944,0.899705015,0.914454277,0.875122911
12,16,192,0.852507375,0.908554572,0.861356932,0.874139626
71,80,112,0.837758112,0.867256637,0.914454277,0.873156342
173,176,208,0.82300885,0.843657817,0.95280236,0.873156342
142,144,224,0.840707965,0.94100295,0.837758112,0.873156342
149,160,80,0.746312684,0.943952802,0.92920354,0.873156342
153,160,144,0.890855457,0.911504425,0.814159292,0.872173058
110,112,224,0.867256637,0.843657817,0.90560472,0.872173058
39,48,112,0.926253687,0.95280236,0.734513274,0.871189774
44,48,192,0.95280236,0.938053097,0.719764012,0.87020649
249,256,144,0.887905605,0.873156342,0.84660767,0.869223206
2,16,32,0.808259587,0.861356932,0.932153392,0.867256637
222,224,224,0.831858407,0.932153392,0.83480826,0.866273353
187,192,176,0.825958702,0.831858407,0.938053097,0.865290069
63,64,240,0.914454277,0.91740413,0.761061947,0.864306785
147,160,48,0.873156342,0.970501475,0.749262537,0.864306785
189,192,208,0.85840708,0.766961652,0.961651917,0.862340216
159,160,240,0.896755162,0.849557522,0.837758112,0.861356932
27,32,176,0.908554572,0.935103245,0.737463127,0.860373648
212,224,64,0.861356932,0.840707965,0.867256637,0.856440511
104,112,128,0.766961652,0.85840708,0.94100295,0.855457227
1,16,16,0.828908555,0.908554572,0.825958702,0.854473943
176,176,256,0.899705015,0.843657817,0.817109145,0.853490659
253,256,208,0.938053097,0.793510324,0.828908555,0.853490659
156,160,192,0.926253687,0.690265487,0.935103245,0.850540806
127,128,240,0.781710914,0.840707965,0.92920354,0.850540806
151,160,112,0.660766962,0.943952802,0.94100295,0.848574238
4,16,64,0.899705015,0.867256637,0.775811209,0.847590954
28,32,192,0.831858407,0.87020649,0.837758112,0.84660767
247,256,112,0.896755162,0.932153392,0.710914454,0.84660767
195,208,48,0.949852507,0.90560472,0.669616519,0.841691249
90,96,160,0.831858407,0.855457227,0.831858407,0.83972468
49,64,16,0.85840708,0.790560472,0.87020649,0.83972468
101,112,80,0.96460177,0.867256637,0.687315634,0.83972468
76,80,192,0.831858407,0.902654867,0.781710914,0.838741396
105,112,144,0.87020649,0.784660767,0.85840708,0.837758112
114,128,32,0.864306785,0.967551622,0.678466077,0.836774828
229,240,80,0.961651917,0.985250737,0.551622419,0.832841691
