No,HN1,HN2,L1,L2,L3,AVG
118,112,160,0.90368272,0.957507082,0.954674221,0.938621341
119,112,176,0.912181303,0.954674221,0.954674221,0.940509915
120,112,192,0.917847025,0.954674221,0.95184136,0.941454202
121,112,208,0.912181303,0.957507082,0.937677054,0.93578848
122,112,224,0.912181303,0.957507082,0.954674221,0.941454202
123,112,240,0.917847025,0.957507082,0.960339943,0.94523135
124,112,256,0.909348442,0.954674221,0.960339943,0.941454202
125,112,272,0.917847025,0.960339943,0.954674221,0.944287063
126,112,288,0.906515581,0.963172805,0.957507082,0.942398489
127,128,16,0.858356941,0.957507082,0.949008499,0.921624174
128,128,32,0.866855524,0.95184136,0.943342776,0.920679887
129,128,48,0.906515581,0.954674221,0.943342776,0.934844193
130,128,64,0.912181303,0.960339943,0.946175637,0.939565628
131,128,80,0.912181303,0.954674221,0.957507082,0.941454202
132,128,96,0.900849858,0.957507082,0.946175637,0.934844193
133,128,112,0.906515581,0.954674221,0.949008499,0.936732767
134,128,128,0.906515581,0.960339943,0.943342776,0.936732767
135,128,144,0.912181303,0.957507082,0.954674221,0.941454202
136,128,160,0.90368272,0.957507082,0.968838527,0.943342776
137,128,176,0.912181303,0.943342776,0.957507082,0.937677054
138,128,192,0.90368272,0.957507082,0.943342776,0.934844193
139,128,208,0.906515581,0.957507082,0.960339943,0.941454202
140,128,224,0.906515581,0.960339943,0.95184136,0.939565628
141,128,240,0.912181303,0.95184136,0.954674221,0.939565628
142,128,256,0.915014164,0.957507082,0.954674221,0.942398489
143,128,272,0.912181303,0.963172805,0.943342776,0.939565628
144,128,288,0.909348442,0.957507082,0.957507082,0.941454202
145,144,16,0.872521246,0.95184136,0.940509915,0.921624174
146,144,32,0.872521246,0.954674221,0.940509915,0.922568461
147,144,48,0.906515581,0.949008499,0.954674221,0.936732767
148,144,64,0.912181303,0.95184136,0.946175637,0.936732767
149,144,80,0.915014164,0.954674221,0.95184136,0.940509915
150,144,96,0.912181303,0.957507082,0.949008499,0.939565628
151,144,112,0.90368272,0.954674221,0.949008499,0.93578848
152,144,128,0.909348442,0.957507082,0.946175637,0.937677054
153,144,144,0.909348442,0.954674221,0.946175637,0.936732767
154,144,160,0.912181303,0.957507082,0.95184136,0.940509915
155,144,176,0.906515581,0.954674221,0.963172805,0.941454202
156,144,192,0.909348442,0.95184136,0.949008499,0.936732767
157,144,208,0.909348442,0.954674221,0.95184136,0.938621341
158,144,224,0.912181303,0.957507082,0.957507082,0.942398489
159,144,240,0.909348442,0.957507082,0.954674221,0.940509915
160,144,256,0.912181303,0.966005666,0.954674221,0.944287063
161,144,272,0.912181303,0.963172805,0.954674221,0.943342776
162,144,288,0.906515581,0.963172805,0.957507082,0.942398489
