Time,Label,MQ2_1,MQ4_1,MQ6_1,MQ9_1,MQ135_1,MQ136_1,MQ137_1,MQ138_1
31236,4,0.510983749,0.152238835,1.021007543,0.1816738,0.177625459,0.139589689,0.1539648,0.29373936
31237,4,0.510983749,0.152238835,1.021007543,0.18152756,0.177457213,0.13943615,0.153801139,0.293444087
31238,4,0.510983749,0.152238835,1.021007543,0.181381474,0.177457213,0.13943615,0.153801139,0.293444087
31239,4,0.510983749,0.151925318,1.019572741,0.181235543,0.177289198,0.13928283,0.153637735,0.29285354
31240,4,0.510983749,0.151925318,1.021007543,0.181235543,0.177289198,0.13928283,0.153637735,0.29285354
31241,4,0.510983749,0.151925318,1.019572741,0.181089612,0.177121414,0.13928283,0.153637735,0.293148813
31242,4,0.510983749,0.15208194,1.021007543,0.181235543,0.177289198,0.13943615,0.153801139,0.293148813
31243,4,0.510983749,0.151925318,1.021007543,0.181235543,0.177289198,0.13928283,0.153801139,0.293444087
31244,4,0.510983749,0.151925318,1.021007543,0.181235543,0.177289198,0.13943615,0.153801139,0.293148813
31245,4,0.510983749,0.151925318,1.021007543,0.181089612,0.177121414,0.13928283,0.153637735,0.293148813
31246,4,0.510983749,0.151925318,1.021007543,0.181235543,0.177121414,0.13928283,0.153801139,0.29285354
31247,4,0.510983749,0.151925318,1.021007543,0.181089612,0.177121414,0.13928283,0.153637735,0.292559046
31248,4,0.510983749,0.151925318,1.021007543,0.181089612,0.177121414,0.13928283,0.153637735,0.29285354
31249,4,0.510983749,0.151925318,1.021007543,0.181089612,0.177121414,0.13928283,0.153637735,0.29285354
31250,4,0.514303725,0.151925318,1.021007543,0.181089612,0.176953861,0.13928283,0.153637735,0.29285354
31251,4,0.510983749,0.151925318,1.022445729,0.181089612,0.176953861,0.13928283,0.153637735,0.29285354
31252,4,0.510983749,0.151768913,1.022445729,0.180943834,0.176953861,0.13928283,0.153637735,0.292559046
31253,4,0.514303725,0.151768913,1.022445729,0.180943834,0.176953861,0.13928283,0.153637735,0.29285354
31254,4,0.510983749,0.151768913,1.022445729,0.180943834,0.176953861,0.13928283,0.153637735,0.29285354
31255,4,0.510983749,0.151768913,1.022445729,0.180943834,0.176953861,0.13928283,0.153637735,0.29285354
31256,4,0.510983749,0.151768913,1.022445729,0.180943834,0.176953861,0.139129816,0.153637735,0.29285354
31257,4,0.514303725,0.151768913,1.022445729,0.180943834,0.176786539,0.139129816,0.15347459,0.29285354
