ID,Label,MQ2_1,MQ4_1,MQ6_1,MQ9_1,MQ135_1,MQ136_1,MQ137_1,MQ138_1,MQ2_2,MQ4_2,MQ6_2,MQ9_2,MQ135_2,MQ136_2,MQ137_2,MQ138_2,MQ2_3,MQ4_3,MQ6_3,MQ9_3,MQ135_3,MQ136_3,MQ137_3,MQ138_3,Temperature,Humidity
S100-17,S100,0.957734453,0.654003588,0.175184107,0.226964548,0.597925632,0.739742613,0.705944046,0.055321515,0.81361007,1.432085264,0.246548928,4.550737861,1.612575941,2.343677431,0.552102252,1.191936614,0.242320152,0.368688296,0.302561418,0.109576411,0.222933414,0.348664649,0.217630343,0.061387461,24.8,59.6
S100-18,S100,0.957734453,0.654003588,0.175184107,0.226964548,0.597925632,0.739742613,0.705944046,0.055275613,0.81361007,1.432085264,0.246978864,4.665446903,1.598226381,2.313911165,0.552102252,1.183952417,0.242320152,0.368688296,0.301947385,0.109576411,0.222933414,0.347873104,0.217630343,0.061231357,24.8,59.5
S100-19,S100,0.957734453,0.654003588,0.175184107,0.226964548,0.597925632,0.739742613,0.705944046,0.055229749,0.81361007,1.432085264,0.246978864,4.665446903,1.584124202,2.343677431,0.550259362,1.183952417,0.242737371,0.368688296,0.302561418,0.109576411,0.222213618,0.347873104,0.217284461,0.061179435,24.8,59.5
S100-20,S100,0.957734453,0.651470138,0.174943649,0.226964548,0.595785734,0.739742613,0.703016591,0.055183959,0.81361007,1.443657792,0.246548928,4.550737861,1.584124202,2.37420695,0.550259362,1.183952417,0.242320152,0.368688296,0.301947385,0.109461317,0.221855244,0.347084756,0.217284461,0.061127588,24.8,59.5
S100-21,S100,0.957734453,0.654003588,0.175184107,0.226964548,0.597925632,0.739742613,0.703016591,0.055229749,0.817479343,1.432085264,0.246978864,4.665446903,1.598226381,2.37420695,0.550259362,1.183952417,0.242737371,0.368688296,0.301947385,0.109346412,0.222213618,0.347084756,0.217284461,0.061231357,24.8,59.5
S100-22,S100,0.957734453,0.651470138,0.175184107,0.226964548,0.595785734,0.739742613,0.703016591,0.055183959,0.817479343,1.432085264,0.246548928,4.550737861,1.598226381,2.37420695,0.552102252,1.183952417,0.242320152,0.367812622,0.301947385,0.109461317,0.221497811,0.347084756,0.217284461,0.061127588,24.8,59.4
S100-23,S100,0.957734453,0.651470138,0.175184107,0.226964548,0.597925632,0.739742613,0.703016591,0.055183959,0.817479343,1.432085264,0.246978864,4.550737861,1.584124202,2.343677431,0.552102252,1.168291189,0.241904212,0.368688296,0.301947385,0.109346412,0.221497811,0.347873104,0.216939519,0.061127588,24.8,59.4
S100-24,S100,0.952495721,0.651470138,0.175184107,0.226964548,0.595785734,0.739742613,0.703016591,0.05513817,0.817479343,1.432085264,0.246548928,4.550737861,1.584124202,2.37420695,0.548427949,1.176071311,0.241904212,0.367812622,0.301947385,0.109231694,0.220431493,0.347873104,0.216939519,0.061024008,24.8,59.4
S100-25,S100,0.952495721,0.651470138,0.175184107,0.226964548,0.595785734,0.739742613,0.703016591,0.055183959,0.81361007,1.432085264,0.246978864,4.665446903,1.584124202,2.284879858,0.550259362,1.176071311,0.241904212,0.36956777,0.301335534,0.109346412,0.220077972,0.347084756,0.217284461,0.061127588,24.8,59.4
S100-26,S100,0.952495721,0.651470138,0.175184107,0.226964548,0.595785734,0.739742613,0.703016591,0.055183959,0.817479343,1.432085264,0.246548928,4.665446903,1.598226381,2.313911165,0.550259362,1.183952417,0.242320152,0.367812622,0.301947385,0.109346412,0.220077972,0.347084756,0.217284461,0.061075779,24.8,59.3
